,,Rubro,Artículo,Nombre,Bt.LISTA 2
,,ACEITES Y VINAGRES,1002,ACEITE DE OLIVA  X 500 CC LAUR,"11080,00"
,,ACEITES Y VINAGRES,1007,ACEITE DE OLIVA X 5 L R.V.,"76570,00"
,,ACEITES Y VINAGRES,1008,ACEITE DE OLIVA  R.V X 3 L,"46360,00"
,,ACEITES Y VINAGRES,1009,ACEITE DE OLIVA EV R.V 500 CC,"9650,00"
,,ACEITES Y VINAGRES,1010,ACEITE DE OLIVA EV R.V 900 CC,"14990,00"
,,ACEITES Y VINAGRES,1011,ACEITE DE OLIVA  1 L PANNOCCHIA,"17960,00"
,,ACEITES Y VINAGRES,1012,ACEITE DE OLIVA  1 L VID. LAUR,"22150,00"
,,ACEITES Y VINAGRES,1013,ACEITE DE OLIVA 1/2 L VID. PANNOCCHIA,"10890,00"
,,ACEITES Y VINAGRES,1014,ACEITE DE OLIVA EV X 5 L PANNOCCHIA,"85280,00"
,,ACEITES Y VINAGRES,1064,"ACETO BALSAMICO 500 CC PET ""CRISTO DE LOS CERROS""","4110,00"
,,ACEITES Y VINAGRES,1066,"ACETO REDUCCIÓN X 500 CC ""RECETAS DE ENTONCES""","7490,00"
,,ACEITES Y VINAGRES,1637,VINAGRE DE ALCOHOL X 1 L,"1220,00"
,,ACEITES Y VINAGRES,1638,VINAGRE DE MANZANA X 1 L,"2320,00"
,,ACEITES Y VINAGRES,1639,VINAGRE DE VINO X 1 L,"1470,00"
,,ACEITES Y VINAGRES,1894,ACEITE DE OLIVA X 900ML VERDE OLIVA,"4640,00"
,,ACEITES Y VINAGRES,1908,ACEITE DE OLIVA X 3 L VERDE OLIVA,"14550,00"
,,ACEITES Y VINAGRES,1909,ACEITEDE OLIVA X 5 L VERDE OLIVA,"23100,00"
,,ACEITES Y VINAGRES,2119,ACEITE OLIVA X 500 PET VERDE OLIVA ,"2990,00"
,,ACEITES Y VINAGRES,2141,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 360 G","6560,00"
,,ACEITES Y VINAGRES,2142,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 200 g","7390,00"
,,ACEITES Y VINAGRES,2265,"ACEITE COCO NEUTRO ENTRENUTS ""SIN TACC"" x 200","4290,00"
,,ACEITES Y VINAGRES,2266,"ACEITE COCO VIRGEN ENTRENUTS ""SIN TACC"" X 360 g","13680,00"
,,ACEITES Y VINAGRES,2416,ACETO BALSAMICO MILLAN X 250,"0,00"
,,ACEITUNAS,1018,ACEITUNAS DESC. X 5 KG ,"35220,00"
,,ACEITUNAS,1020,ACEITUNAS DESCAROZADAS X 1 KG,"8970,00"
,,ACEITUNAS,1021,ACEITUNAS FILETEADAS X 1 KG.,"9430,00"
,,ACEITUNAS,1023,ACEITUNAS FILETEADAS  4 KG,"29960,00"
,,ACEITUNAS,1024,ACEITUNAS GRIEGAS X 1 KG,"11510,00"
,,ACEITUNAS,1025,ACEITUNAS GRIEGAS X 1/2 KG,"7960,00"
,,ACEITUNAS,1026,ACEITUNAS NEGRAS X 5 KG Nº 0,"47150,00"
,,ACEITUNAS,1028,ACEITUNAS NEGRAS X 5 KG Nº 1,"37040,00"
,,ACEITUNAS,1030,ACEITUNAS NEGRAS DESC. X 5 KG.,"39160,00"
,,ACEITUNAS,1031,ACEITUNAS NEGRAS FILET X 5 KG.,"41330,00"
,,ACEITUNAS,1032,ACEITUNAS NEGRAS X 1 KG.,"8350,00"
,,ACEITUNAS,1034,ACEITUNAS RELL.X 1 KG.,"12560,00"
,,ACEITUNAS,1036,ACEITUNAS RELL. X 200 GR,"3780,00"
,,ACEITUNAS,1037,ACEITUNAS RELL. SURTIDAS X 330 GR.,"6090,00"
,,ACEITUNAS,1038,ACEITUNAS VERDES DURANG N°0 X 5 KG ,"42990,00"
,,ACEITUNAS,1040,ACEITUNAS VERDES DURANG Nº 1 X 5 KG,"38210,00"
,,ACEITUNAS,1043,ACEITUNAS VERDES X 1 KG Nº 00,"10190,00"
,,ACEITUNAS,1044,ACEITUNAS VERDES X 1 KG Nº0,"9140,00"
,,ACEITUNAS,1045,ACEITUNAS VERDES X 1 KG Nº1,"7960,00"
,,ACEITUNAS,1049,ACEITUNAS VERDES X 1/2 KG Nº 00,"6620,00"
,,ACEITUNAS,1050,ACEITUNAS VERDES X 1/2 KG Nº 1,"4510,00"
,,ACEITUNAS,1051,ACEITUNAS VERDES X 1/2 KG Nº0,"5300,00"
,,ACEITUNAS,1056,ACEITUNAS VERDES X 5 KG N°0,"32380,00"
,,ACEITUNAS,1058,ACEITUNAS VERDES X 5 KG Nº1,"24580,00"
,,ACEITUNAS,1059,ACEITUNAS VERDES X 5 KG Nº2,"21800,00"
,,ACEITUNAS,2443,ACEITUNAS NEGRAS DESCAROZADAS X 3 KG,"25130,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1140,AZUCAR IMPALPABLE X KG.,"2860,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1141,AZUCAR MASCABO X KG,"5430,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1142,AZUCAR NEGRA X KG.,"2830,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1163,CACAO AMARGO DE BRASIL X KG.,"27830,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1178,CASCARILLA DE CACAO X KG.,"5700,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1211,COCO EN ESCAMAS X KG,"19360,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1212,COCO RALLADO X KG.,"11290,00"
,,"AZUCAR, CACAO Y REPOSTERIA",1263,"ESENCIA ARTIFICIAL DE VAINILLA X 100 CC ""INDIAS"" ","920,00"
,,"AZUCAR, CACAO Y REPOSTERIA",2348,POLVO PARA HORNEAR X KG,"3590,00"
,,BEBIDAS,1324,"JUGO DE ARANDANOS X 1,5 LTS.","3080,00"
,,BEBIDAS,1325,"JUGO DE LIM, MENTA Y JENG X 1,5 LTS.","3080,00"
,,BEBIDAS,1727,LECHE DE COCO EN POLVO X KG,"27570,00"
,,CEREALES,1114,ALMOHADITAS 2 SALVADO X KG.,"5600,00"
,,CEREALES,1115,ALMOHADITAS CHOCOLATE X KG.,"9000,00"
,,CEREALES,1117,ALMOHADITAS FRUTILLA X KG.,"8400,00"
,,CEREALES,1118,ALMOHADITAS LIMON X KG.,"8400,00"
,,CEREALES,1121,ANILLOS DE AVENA Y MIEL X KG.,"7620,00"
,,CEREALES,1122,ANILLOS FRUTADOS X KG.,"6900,00"
,,CEREALES,1135,AVENA ARROLLADA GRUESA X KG,"2520,00"
,,CEREALES,1136,AVENA INSTANTÁNEA X KG,"2520,00"
,,CEREALES,1137,AVENA TRADICIONAL X KG.,"2520,00"
,,CEREALES,1147,BASTONCITO SALVADO TRIGO Y AVENA X KG.,"5640,00"
,,CEREALES,1155,BOLITAS DE CHOCOLATE X KG.,"7740,00"
